"","X","State","ID","Material","Taxa","Type","County","Measured","Mea_SE","Norm","Norm_SE","X13C","SiteID","SiteName","Lat","Long","Strat","Context","AMS_Radio","Comment","Reference","Region","Date","Error","Site_Name"
"1685",45901,"Utah","Beta-9309","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",330,60,NA,NA,NA,"42SA8502","Neck",37.631161,-109.805024,NA,"Feature 26, oval-shaped charcoal stain","RADIOMETRIC","Feature described as a basin-shaped charcoal stain 22 by 20cm; associated with burned bone, flakes, and tool fragments","Osborn 1995, Aboriginal Adaptations on the Colorado Plateau...","Plateau",330,60,"Neck"
"1686",45902,"Utah","Beta-9311","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",120,50,NA,NA,NA,"42SA8502","Neck",37.631161,-109.805024,NA,"Feature 14, circular charcoal stain","RADIOMETRIC","Basin-shaped hearth described as 40cm in diameter and 2 to 9cm deep; associated with FCR, burned bone, ground stone, pinyon shells, and lithics","Osborn 1995, Aboriginal Adaptations on the Colorado Plateau...","Plateau",120,50,"Neck"
"1687",45903,"Utah","Beta-9312","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",630,80,NA,NA,NA,"42SA8502","Neck",37.631161,-109.805024,NA,"Feature 7 Hearth",NA,"Basin-shaped hearth described as 28cm wide and 7cm deep; associated with FCR, burned bone, and lithics","Osborn 1995:110","Plateau",630,80,"Neck"
"1688",45904,"Utah","WSU-4345","CHARCOAL","Juniper-Pine Charcoal","ARCHAEOLOGICAL","San Juan",NA,NA,1670,90,-25,"42SA4542","North Road C9-5",37.631161,-109.805024,NA,"perhaps structural charcoal (burned roofing) of pithouse, but not clear from text","RADIOMETRIC","Dated feature not described other than it was consistent with other mesa-top Basketmaker II pithouses","Matson 1994:Table 1","Plateau",1670,90,"North Road C9-5"
"1689",45905,"Utah","Beta-40116","TEXTILE","yucca open twined sandal frag","ARCHAEOLOGICAL","San Juan",NA,NA,7440,100,-22.1,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Open-twined sandal (ECPR 84.6) found on surface of site in looter backdirt pile; assigned to Unit III based on age.",NA,"Sandal fragment collected from the site surface by a BLM ranger during an early site visit","Geib and Davidson 1993:Table 1","Plateau",7440,100,"Old Man Cave"
"1690",45906,"Utah","Beta-47007","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,7790,80,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Charcoal (PN54) from hearth (Feature  12) at the bottom of Unit III excavated into precultural alluvial sand (Unit I).",NA,"Feature is an ash lens overlaying the surface of sterile Layer 13; Geib (1996) calls it a hearth; associated artifacts not mentioned","Geib and Davidson 1993:Table 1","Plateau",7790,80,"Old Man Cave"
"1691",45907,"Utah","Beta-47008","FECES","rodent","GEOLOGICAL","San Juan",NA,NA,5890,70,-24.6,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Droppings (PN87) from the lower portion of Unit IV.",NA,"Sample from the middle of Level 4 representing a hiatus between Early Archaic and Basketmaker occupations","Geib and Davidson 1993:Table 1","Plateau",5890,70,"Old Man Cave"
"1692",45908,"Utah","Beta-47741","WOOD","Juniper Bark","ARCHAEOLOGICAL","San Juan",NA,NA,1790,90,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Bark (PN8) was within the upper fill of a Basketmaker II burial (Feature  3) originating from Unit V.",NA,"Juniper bark directly associated with a Basketmaker II burial pit; but burial not described and associated artifacts not mentioned","Geib and Davidson 1993:Table 1","Plateau",1790,90,"Old Man Cave"
"1693",45909,"Utah","Beta-47742","OTHER","Sporobolys Grass","ARCHAEOLOGICAL","San Juan",NA,NA,7560,90,-12.8,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Feature 11, Mostly stems of Sporobolous (PN49) recovered from along with abundant grass chaff resting on massive roof spall used as a living surface, bottom of Unit III.",NA,"Grass sample from a rich organic layer in same area where an open-twined sandal was recovered; direct association not clear but probable","Geib and Davidson 1993:Table 1","Plateau",7560,90,"Old Man Cave"
"1694",45910,"Utah","Beta-47743","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,6730,70,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Charcoal (PN57) from shallow basin hearth (Feature  10) within the upper part of Unit III.",NA,"Ash lens originated in Level 7 and intruded into Level 8; both levels represent less-intensive use of the alcove","Geib and Davidson 1993:Table 1","Plateau",6730,70,"Old Man Cave"
"1695",45911,"Utah","Beta-47752","CHARCOAL",NA,"PALEONTOLOGICAL","San Juan",NA,NA,20830,70,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Unit IIIb, Feature 10",NA,NA,"Geib, Phil R.  (1996)    Archaic Occupancy of the Glen Canyon Region.   In Glen Canyon Revisited, edited by Phil R. Geib, Anthropological Papers, No. 119, University of Utah Press, Salt Lake City.","Plateau",20830,70,"Old Man Cave"
"1696",45912,"Utah","Beta-48141","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,6120,70,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Charcoal (PN19) from a shallow basin hearth (Feature  5) within the top of Unit III.",NA,"Hearth not described other than located just below layers representing middle Holocene hiatus","Geib 1996:58; Geib and Davidson 1993:Table 1","Plateau",6120,70,"Old Man Cave"
"1697",45913,"Utah","Beta-52160","WOOD","Juniper bark","ARCHAEOLOGICAL","San Juan",1870,70,NA,NA,NA,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,NA,NA,NA,NA,"Plateau",1870,70,"Old Man Cave"
"1698",45914,"Utah","Beta-52165","WOOD","juniper bark","ARCHAEOLOGICAL","San Juan",NA,NA,1870,70,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Twisted hank of juniper bark (PN4) from a looted burial cist (Feature  1) within Unit V.",NA,"Sample was twisted bark directly associated with a Basketmaker II burial; burial and associated artifacts not described","Geib and Davidson n.d.","Plateau",1870,70,"Old Man Cave"
"1699",45915,"Utah","Beta-52614","OTHER","juniper bark","ARCHAEOLOGICAL","San Juan",NA,NA,1400,70,-25,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Unit V, looted cist",NA,NA,"Geib, Phil R.  (1996)    Archaic Occupancy of the Glen Canyon Region.   In Glen Canyon Revisited, edited by Phil R. Geib, Anthropological Papers, No. 119, University of Utah Press, Salt Lake City.","Plateau",1400,70,"Old Man Cave"
"1700",45916,"Utah","Beta-74066","SEEDS","Zea mays cob","ARCHAEOLOGICAL","San Juan",NA,NA,1810,60,-10.5,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Unit V",NA,"Sample was a whole corncob from a cache of cobs at the edge of a slab-lined storage cist","Geib 1996:21","Plateau",1810,60,"Old Man Cave"
"1701",45917,"Utah","Beta-74067","FECES","Homo sapiens","ARCHAEOLOGICAL","San Juan",NA,NA,7680,90,-13.1,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Unit IIIa",NA,"Sample recovered from a crack in a massive roof fall used as a living surface","Geib 1996:21","Plateau",7680,90,"Old Man Cave"
"1702",45918,"Utah","Beta-74069?","FECES","rodent","GEOLOGICAL","San Juan",866,70,NA,NA,NA,"42SA21153","Old Man Cave",37.631161,-109.805024,"level 4","Rodent feces from Level 4, which along with Level 3 appears to represent an interval of natural deposition (cultural hiatus?).",NA,NA,"GEIB AND DAVIDSON 1994","Plateau",866,70,"Old Man Cave"
"1703",45919,"Utah","Beta-77867","FECES","rodent feces","ARCHAEOLOGICAL","San Juan",NA,NA,3940,60,-23,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Rodent droppings (PN118.1) from within layer of Unit IV that overlies the early Archaic Unit III above Feature  9.",NA,NA,"Geib and Davidson n.d.","Plateau",3940,60,"Old Man Cave"
"1704",45920,"Utah","Beta-77868","TEXTILE","yucca of open twined sandal","ARCHAEOLOGICAL","San Juan",NA,NA,7490,60,-26.2,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"A pair of poorely preserved open-twined sandals (PN153.1) from the lower portion of Unit III.",NA,"Sample from a pair of poorly preserved open-twined sandals","Geib and Davidson n.d.","Plateau",7490,60,"Old Man Cave"
"1705",45921,"Utah","Beta-77869","TEXTILE","yucca of warp-face plain weave sandal","ARCHAEOLOGICAL","San Juan",NA,NA,3680,60,-15.8,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Plain weave sandal (PN524.2) found under a large roof spall within Unit IV.",NA,"Sample from a plain-weave sandal found under a roof fall","Geib and Davidson n.d.","Plateau",3680,60,"Old Man Cave"
"1706",45922,"Utah","Beta-77870","OTHER","pitch","ARCHAEOLOGICAL","San Juan",NA,NA,7340,60,-24.1,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Mastic (PN566.3) from the base of a square stemmed projectile point from Unit IIIa.",NA,"Sample was pitch from the hafting on a square-stemmed point","Geib and Davidson n.d.","Plateau",7340,60,"Old Man Cave"
"1707",45923,"Utah","Beta-77871","OTHER","grass","ARCHAEOLOGICAL","San Juan",NA,NA,7300,100,-12.1,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Stems of Sporobolous sp. (PN575.4.1) associated with square stemmed projectile points and open-twined sandals within Unit IIIa.",NA,"Grass sample associated with square-stemmed point and open-twined sandal","Geib and Davidson n.d.","Plateau",7300,100,"Old Man Cave"
"1708",45924,"Utah","Beta-77872","OTHER","oak leaves","GEOLOGICAL","San Juan",NA,NA,4070,60,-27.8,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Leaves (PN590.1) under a large roof spall within the upper portion of Unit IV.",NA,NA,"Geib and Davidson n.d.","Plateau",4070,60,"Old Man Cave"
"1709",45925,"Utah","Beta-77873","CHARCOAL","twig (oak?)","GEOLOGICAL","San Juan",NA,NA,4920,60,-26.2,"42SA21153","Old Man Cave",37.631161,-109.805024,NA,"Twig (PN590.8) is the annual growth; recovered from Unit IV below Beta-77872.",NA,NA,"Geib and Davidson n.d.","Plateau",4920,60,"Old Man Cave"
"1710",45927,"Utah","Beta-120365","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,1760,60,NA,"42SA23182","Pig Bear Site",37.631161,-109.805024,NA,"Feature 12, hearth",NA,"IMACS form refers to a 1999 testing report (Dohm) that is missing from the state database; nature of the tested feature is not known","Fahrni 2011","Plateau",1760,60,"Pig Bear Site"
"1711",45928,"Utah","GX-2074","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,1870,100,-25,"42SA3646","Pittman",37.631161,-109.805024,NA,"Feature 6, Extramural hearth associated with pithouse.  Matson rejects this date as being 200 years older than the other C-14 and tree-ringdates from the site.",NA,"Sample from an extramural hearth outside a Basketmaker II pithouse; Matson rejected it as too early","MATSON 1991; Berry and Berry, 1986; Geib, 1996","Plateau",1870,100,"Pittman"
"1712",45929,"Utah","GX-2141","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",1570,80,NA,NA,NA,"42SA3646","Pittman",37.631161,-109.805024,NA,"Pithouse Floor fill/contact",NA,"Sample from the floor contact area of the pithouse","Matson 1991; Berry, Claudia F., and Michael S. Berry (1986)  Chronological and Conceptual Models of the Southwestern Archaic. In Anthropology of the Desert West: Essays in Honor of Jesse D. Jennings, edited by C. J. Condie and D. D. Fowler, pp. 253-327. Salt Lake City: University of Utah Press.","Plateau",1570,80,"Pittman"
"1713",45930,"Utah","GX-2142","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",1695,90,NA,NA,NA,"42SA3646","Pittman",37.631161,-109.805024,NA,"Feature 2, pithouse hearth",NA,"Sample from a superimposed hearth in lower cultural fill of a Basketmaker II pithouse; Berry re-ran the sample at 1759 +176 (1982); Basketmaker II point in the upper fill","Matson 1991; Berry, Claudia F., and Michael S. Berry (1986)  Chronological and Conceptual Models of the Southwestern Archaic. In Anthropology of the Desert West: Essays in Honor of Jesse D. Jennings, edited by C. J. Condie and D. D. Fowler, pp. 253-327. Salt Lake City: University of Utah Press.","Plateau",1695,90,"Pittman"
"1714",45931,"Utah","Beta-20470","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",640,60,NA,NA,NA,"42SA?","Polley Secrest",37.631161,-109.805024,NA,NA,"RADIOMETRIC","Sample is from burials curated at the Dan O'Laurie Museum in Moab; nature of the sample not discussed in Osborn","Osborn 1995, Aboriginal Adaptations on the Colorado Plateau...","Plateau",640,60,"Polley Secrest"
"1715",45932,"Utah","AA-81938","TEXTILE","Sandals","ARCHAEOLOGICAL","San Juan",NA,NA,971,35,NA,"42SA?","Poncho House (NA-2660)",37.631161,-109.805024,NA,NA,"AMS",NA,"Yoder 2009- Puebloan plain-weave pointed/rounded-toe sandals","Plateau",971,35,"Poncho House (NA-2660)"
"1716",45933,"Utah","Beta-21209","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,3340,100,-25,"42SA17092","Salt Pocket Shelter",37.631161,-109.805024,NA,"Basin hearth within midden deposit; encountered in a 1x1 m unit.  A 'Sand Dune Side-notched' point and a Barrier Canyon style anthropomorph pictograph occur at the site but are not clear associated with the dated hearth.  On pages 92 and 137 of Tipps and Hewitt's report the 1 sigma for this date is given as 110 years.",NA,"Dated feature is a hearth below the Barrier Canyon panel; direct association not clearly evident","Tipps and Hewitt 1989:125","Plateau",3340,100,"Salt Pocket Shelter"
"1721",45938,"Utah","AA-43120","TEXTILE","Yucca Cordage","ARCHAEOLOGICAL","San Juan",NA,NA,1855,50,-9.1,"42SA19114","Sand Dune Cave (NA-7523)",37.631161,-109.805024,NA,"dog skin bag","AMS","Sample was from yucca cordage associated with a twined bag inside the dog-skin bag with hunting paraphernalia; sample from museum collection and reported in Lindsay et al. 1968","Geib 2004","Plateau",1855,50,"Sand Dune Cave (NA-7523)"
"1722",45939,"Utah","AA-43121","LEATHER","Prairie Dog Skin","ARCHAEOLOGICAL","San Juan",NA,NA,1790,50,-22.5,"42SA19114","Sand Dune Cave (NA-7523)",37.631161,-109.805024,NA,"twined bag","AMS","Sample was from a prairie dog skin bag inside the larger dog-skin bag with hunting paraphernalia; this bag contained the horn flakers; sample from museum collection and reported in Lindsay et al. 1968","Geib 2004","Plateau",1790,50,"Sand Dune Cave (NA-7523)"
"1726",45943,"Utah","?","UNKNOWN",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,5110,40,NA,"42SA219","Sandy",37.631161,-109.805024,NA,"burial AS-3, female, 50-60 years old",NA,"Consultation verified (Utah NAGPRA Committee)","Rood 2013, Archaic-Age Burials from Utah...","Plateau",5110,40,"Sandy"
"1727",45944,"Utah","Beta-26786","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",1790,100,NA,NA,NA,"42SA18500","Sandy Ridge",37.631161,-109.805024,NA,"Pithouse floor. Pithouse was  5.05 x 4.75 m in dia., max. depth of 60 cm below dozer cut.  Unprepared floor, moderately use packed;  basin shaped, with post occupation structural collapse. Pithouse contained  several small projectile points within 5 cm of the floor.  Other artifacts:  ground stone (including a slab metate) within 15 cm of the floor.  Slab lined hearth.  Pit 1:  opening slightly undercut the N wall and meas. 80 x 56 cm in dia.  Slabs probably originally surrounded the pit.  Bottom of pit was 90 cm below the structure floor, with a diameter of 120 x 160 cm.  Final use is interpreted as a large heating pit--possibly for heat treating chert cobbles and cores.",NA,"Sample from a charred roof beam on the pithouse floor; associated with small side-notched arrow points (untyped)","RICHINS AND TALBOT 1989","Plateau",1790,100,"Sandy Ridge"
"1728",45945,"Utah","Beta-26787","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",1760,60,NA,NA,NA,"42SA18500","Sandy Ridge",37.631161,-109.805024,NA,"Pithouse floor.  Pithouse contained small projectile points thought to represent bow and arrow technology.",NA,"Sample from a charred roof beam on the pithouse floor; associated with small side-notched arrow points (untyped)","RICHINS AND TALBOT 1989","Plateau",1760,60,"Sandy Ridge"
"1729",45946,"Utah","Beta-26788","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",1830,80,NA,NA,NA,"42SA18500","Sandy Ridge",37.631161,-109.805024,NA,"Pithouse floor.  Pithouse contained  small projectile points.",NA,"Sample from a charred roof beam on the pithouse floor; associated with small side-notched arrow points (untyped)","RICHINS AND TALBOT 1989","Plateau",1830,80,"Sandy Ridge"
"1731",45948,"Utah","Beta-57401","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,2040,80,-25,"42SA8477","Shadow Shelter",37.631161,-109.805024,"10 cmbs","Feature 1, a hearth, ca. 10 cm below the ground surface. Hearth is unlined basin, ca. 70 x 54 cm in dia. Small amts. of charred juniper in hearth. Assoc. artifacts are not diagnostic: Elko, San Rafael Stemmed, a poorly defined point type thought to be late Archaic (Tipps 1988).",NA,"Feature is an informal hearth 70 by 54cm and 12cm deep; no associated artifacts","Geib 1996:23, Reed 1993:71","Plateau",2040,80,"Shadow Shelter"
"1732",45949,"Utah","Beta-57402","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,3130,70,-25,"42SA8477","Shadow Shelter",37.631161,-109.805024,NA,"Charcoal from an excavation level with abundant charcoal, Stratum C, believed to be stratigraphically equivalent with B-57404. The latter is on charcoal from a hearth, Feature  4, but it has a very large sigma.  Assoc. artifacts are non diagnostic, Elko.",NA,"Charcoal recovered from unpatterned but abundant charcoal level; no associated artifacts but statistically the same as Hearth 4","Geib 1996:23, Reed 1993:71","Plateau",3130,70,"Shadow Shelter"
"1733",45951,"Utah","Beta-95268","SEEDS","Zea mays cob","ARCHAEOLOGICAL","San Juan",NA,NA,2030,90,-9.7,"42SA24773","Six-Toe Shelter",37.631161,-109.805024,NA,"16 row cob, STS-5",NA,"Sample was a 16-row corncob; sample from center of the shelter on looters back-dirt piles","Smiley and Robins 1997:Table A.1","Plateau",2030,90,"Six-Toe Shelter"
"1734",45952,"Utah","Beta-95269","SEEDS","Zea mays cob","ARCHAEOLOGICAL","San Juan",NA,NA,1830,70,-10.1,"42SA24773","Six-Toe Shelter",37.631161,-109.805024,NA,"14 row cob, STS-10",NA,"Sample was a 14-row corncob; sample source not indicated but probably site surface","Smiley and Robins 1997:Table A.1","Plateau",1830,70,"Six-Toe Shelter"
"1735",45953,"Utah","Beta-95270","SEEDS","Zea mays cob","ARCHAEOLOGICAL","San Juan",NA,NA,1060,70,-8.6,"42SA24773","Six-Toe Shelter",37.631161,-109.805024,NA,"10 row cob, STS-10",NA,"Sample was a 10-row corncob; sample source not indicated but probably site surface","Smiley and Robins 1997:Table A.1","Plateau",1060,70,"Six-Toe Shelter"
"1736",45954,"Utah","Beta-95271","SEEDS","Zea mays cob","ARCHAEOLOGICAL","San Juan",NA,NA,1940,80,-9,"42SA24773","Six-Toe Shelter",37.631161,-109.805024,NA,"STS-17",NA,"Sample was a partial corncob; sample source not indicated but probably site surface","Smiley and Robins 1997:Table A.1","Plateau",1940,80,"Six-Toe Shelter"
"1737",45955,"Utah","Beta-95272","SEEDS","Zea mays cob","ARCHAEOLOGICAL","San Juan",NA,NA,2360,80,-9.5,"42SA24773","Six-Toe Shelter",37.631161,-109.805024,NA,"16 row cob, STS-20",NA,"Sample was a 16-row corncob; sample source not indicated but probably site surface","Smiley and Robins 1997:Table A.1","Plateau",2360,80,"Six-Toe Shelter"
"1738",45971,"Utah","Beta-30482","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,2220,90,-25,"42SA20256","Squaw Butte Cove",37.631161,-109.805024,NA,"Feature 1, Slab lined hearth.  16 pieces of tabular sandstone probably once lined the hearth.  Ca. 1.4 m in dia., 26 cm bmgs.  Macrofossils in cluded Chenopods, Juniperus, Pinus, Sphaeralcea, and Sporobolus.",NA,"Feature is a slab-lined hearth 1.4m in diameter and 26cm deep; associated with lithic flakes but no diagnostic artifacts","Tipps 1992","Plateau",2220,90,"Squaw Butte Cove"
"1739",45972,"Utah","Beta-107403","SEEDS","Pine Needles","GEOLOGICAL","San Juan",NA,NA,420,80,NA,"42SA23203","Steward Alcove",37.631161,-109.805024,NA,"plant material from packrat deposit  Coulam and Schroedl","AMS","Sample from packrat midden adhering to a Barrier Canyon rock art panel and therefore post-dating the rock art","Nancy Coulam, personal communication","Plateau",420,80,"Steward Alcove"
"1741",45974,"Utah","Beta-29316?","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",1370,70,NA,NA,NA,"42SA20040","The Rockshelter Site",37.631161,-109.805024,NA,"Charcoal from a burned stone lined hearth.",NA,"no lab numbers in report","HOHMANN 1989","Plateau",1370,70,"The Rockshelter Site"
"1742",45975,"Utah","Beta-135686","SEEDS","charred juniper","ARCHAEOLOGICAL","San Juan",NA,NA,3150,40,-21,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"basin hearth 6 (Feature  28.1)","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3150,40,"Three Dog Site (UT-B-63-39)"
"1743",45976,"Utah","Beta-135687","CHARCOAL","sagebrush twig","ARCHAEOLOGICAL","San Juan",NA,NA,3390,40,-22.1,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"sage twig from basin hearth 4 (Feature  28.1); inconsistent with date on juniper seeds of 3150 b.p.","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3390,40,"Three Dog Site (UT-B-63-39)"
"1744",45977,"Utah","Beta-135688","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,2880,70,-25,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"basin hearth 13(Feature  65.1)","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2880,70,"Three Dog Site (UT-B-63-39)"
"1745",45978,"Utah","Beta-135689","CHARCOAL","sagebrush","ARCHAEOLOGICAL","San Juan",NA,NA,3090,40,-24,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"sage from basin hearth 13 (Feature  65.1); inconsistent with date on charcoal of 2880 b.p.","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3090,40,"Three Dog Site (UT-B-63-39)"
"1746",45979,"Utah","Beta-135690","CHARCOAL","sagebrush","ARCHAEOLOGICAL","San Juan",NA,NA,2940,70,-23.5,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"sage from basin hearth 20 (Feature  65.7); inconsistent with date on charcoal of 2720 b.p.","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2940,70,"Three Dog Site (UT-B-63-39)"
"1747",45980,"Utah","Beta-135691","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,2720,70,-25,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"basin hearth 20 (Feature 65.7)","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2720,70,"Three Dog Site (UT-B-63-39)"
"1748",45981,"Utah","Beta-135692","CHARCOAL","twig","ARCHAEOLOGICAL","San Juan",NA,NA,2890,40,-22.5,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"twig 1.5 mm diam. from basin hearth 25 (Feature  24)","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2890,40,"Three Dog Site (UT-B-63-39)"
"1749",45982,"Utah","Beta-135693","CHARCOAL","sagebrush","ARCHAEOLOGICAL","San Juan",NA,NA,2810,30,-21.9,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"sage from hearth or burned small structure 1 (Feature  24)","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2810,30,"Three Dog Site (UT-B-63-39)"
"1750",45983,"Utah","Beta-158095","CHARCOAL","sagebrush","ARCHAEOLOGICAL","San Juan",NA,NA,3210,90,-25,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Hearth 1","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3210,90,"Three Dog Site (UT-B-63-39)"
"1751",45984,"Utah","Beta-158096","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,3230,60,-25,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Feature 22 Hearth 1 basin hearth","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3230,60,"Three Dog Site (UT-B-63-39)"
"1752",45985,"Utah","Beta-158097","SEEDS","charred juniper","ARCHAEOLOGICAL","San Juan",NA,NA,3160,40,-22.9,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Feature 28.2 Hearth 4 basin hearth","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3160,40,"Three Dog Site (UT-B-63-39)"
"1753",45986,"Utah","Beta-158098","CHARCOAL","small twig 4 mm diam.","ARCHAEOLOGICAL","San Juan",NA,NA,2910,40,-20.8,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Feature 103 Hearth 27 basin hearth","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2910,40,"Three Dog Site (UT-B-63-39)"
"1754",45987,"Utah","Beta-158099","CHARCOAL","small twig 2 mm diam.","ARCHAEOLOGICAL","San Juan",NA,NA,2520,40,-11.1,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Feature 99 Hearth 29 basin hearth","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2520,40,"Three Dog Site (UT-B-63-39)"
"1755",45988,"Utah","Beta-158100","CHARCOAL","sagebrush","ARCHAEOLOGICAL","San Juan",NA,NA,2950,40,-23.8,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Feature 106 Hearth 2 basin hearth","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2950,40,"Three Dog Site (UT-B-63-39)"
"1756",45989,"Utah","Beta-158101","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,3210,90,-25,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Hearth 2","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3210,90,"Three Dog Site (UT-B-63-39)"
"1757",45990,"Utah","Beta-158102","SEEDS","charred juniper","ARCHAEOLOGICAL","San Juan",NA,NA,2910,40,-18.9,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Hearth 13","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2910,40,"Three Dog Site (UT-B-63-39)"
"1758",45991,"Utah","Beta-175658","CHARCOAL",NA,"ARCHAEOLOGICAL","San Juan",NA,NA,3200,70,-25,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Hearth 31","RADIOMETRIC","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",3200,70,"Three Dog Site (UT-B-63-39)"
"1759",45992,"Utah","Beta-175659","WOOD","twigs","ARCHAEOLOGICAL","San Juan",NA,NA,2540,50,-22.7,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Hearth 30","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2540,50,"Three Dog Site (UT-B-63-39)"
"1760",45993,"Utah","Beta-175660","OTHER","twig and juniper seed","ARCHAEOLOGICAL","San Juan",NA,NA,2790,40,-21.4,"42SA","Three Dog Site (UT-B-63-39)",37.631161,-109.805024,NA,"Structure(?) 1","AMS","Individual features are not described in the report other than they comprised unlined hearths","Geib 2014","Plateau",2790,40,"Three Dog Site (UT-B-63-39)"
